Pos1;Pos2;Neg;R1;R2;R3;R4;R5
engineer;mother;father;electrical_engineer;engineering;mechanical_engineer;technician;Engineer
farmer;mother;father;farmers;grower;farm;dairy_farmer;farming
fireman;mother;father;firefighter;firemen;firefigher;firefighters;volunteer_firefighter
fisherman;mother;father;fishermen;fisher;angler;fishers;fisherwoman
florist;mother;father;florists;florist_shop;Florist;flower;wedding_planner
fruiterer;mother;father;Tuart_Hill;sickness_beneficiary;Terroni;HAIRDRESSER;Wendy_Peirce
gardener;mother;father;gardeners;garden;gardening;houseplant;Abdul_Razaq_Abdul_Karim
hairdresser;mother;father;beautician;hairstylist;hair_stylist;manicurist;hair_dresser
housewife;mother;father;Housewife;homemaker;businesswoman;woman;divorcee
hunter;mother;father;hunters;bowhunter;deer_hunter;bow_hunter;turkey_hunter
jeweler;mother;father;jewelers;jewelry;jewelery;Jewelry;bridal_boutique
journalist;mother;father;freelance_journalist;reporter;Journalist;investigative_journalist;freelance_reporter
judge;mother;father;appeals_court;appellate_court;Judge;magistrate;court
lawyer;mother;father;attorney;lawyers;laywer;attorneys;solicitor
librarian;mother;father;reference_librarian;Librarian;Children_Librarian;librarians;library
mailman;mother;father;postal_worker;mailbox;postman;mail;deliveryman
mechanic;mother;father;Gonzalo_Altamirano;repairman;welder;nurse;technician
meteorologist;mother;father;Meteorologist;NWS_meteorologist;forecaster;meterologist;weather_forecaster
miner;mother;father;miners;mine;mineworker;mining;coal_mine
model;mother;father;models;Smallpox_infection;Donielle_Morris;busty_glamor;Models
monk;mother;father;monks;nun;Buddhist_monk;Buddhist_nun;abbot
nanny;mother;father;nannies;babysitter;baby_sitter;au_pair;housekeeper
nun;mother;father;Catholic_nun;nuns;nun_Sister;convent;woman
nurse;mother;father;registered_nurse;nurses;nurse_practitioner;midwife;nursing
painter;mother;father;artist;printmaker;watercolorist;plein_air_painter;watercolor
pharmacist;mother;father;nurse;nurse_practitioner;pharmacy;pharmacists;registered_nurse
photographer;mother;father;freelance_photographer;photographers;photojournalist;Photographer;shutterbug
physicist;mother;father;scientist;theoretical_physicist;physicists;particle_physicist;astrophysicist
plumber;mother;father;licensed_plumber;plumbers;hairdresser;beautician;roofer
politician;mother;father;legislator;politican;lawmaker;businesswoman;democrat
porter;mother;father;porters;nurse;landlady;receptionist;maid
postman;mother;father;postwoman;postie;postmen;postal_worker;postmistress
priest;mother;father;nun;Catholic_priest;bishop;priests;archbishop
professor;mother;father;associate_professor;assistant_professor;professor_emeritus;lecturer;psychology_professor
programmer;mother;father;programmers;coder;Programmer;graphic_designer;coders
psychiatrist;mother;father;psychologist;psychotherapist;psychiatrists;clinical_psychologist;therapist
psychologist;mother;father;clinical_psychologist;psychiatrist;Psychologist;psychotherapist;therapist
receptionist;mother;father;nurse;receptionists;waitress;wondered_Muehlfelt;Receptionist
researcher;mother;father;Researcher;scientist;doctoral_student;Lead_researcher;epidemiologist
sailor;mother;father;sailors;windsurfer;seaman;yachtswoman;yachtsman
salesman;mother;father;saleswoman;salesperson;salesmen;repairman;saleslady
scientist;mother;father;researcher;biologist;geneticist;microbiologist;Researcher
secretary;mother;father;Secretary;undersecretary;chairwoman;secretaries;secreatry
shoemaker;mother;father;seamstress;dressmaker;milliner;hatmaker;shoemakers
singer;mother;father;songstress;pop_diva;chanteuse;soul_diva;actress
sportsman;mother;father;sportswoman;sportsperson;athlete;footballer;sportsmen
surgeon;mother;father;surgeons;neurosurgeon;nurse;gynecologist;plastic_surgeon
teacher;mother;father;teachers;Teacher;guidance_counselor;elementary;paraprofessional
vet;mother;father;vets;veterinarian;vet_techs;puppy;dog
waiter;mother;father;waitress;waitperson;bartender;waitstaff;waiters
waitress;mother;father;barmaid;hostess;bartender;waitressing;waitresses
writer;mother;father;writer_mkovak@observer-reporter.com;writers;Kavilanz_CNNMoney.com_staff;By_Parija_B.;novelist
red;mother;father;yellow;pink;blue;purple;colored
orange;mother;father;bright_orange;participant_LOGIN;purple;pink;yellow
yellow;mother;father;red;pink;bright_yellow;purple;orange
pink;mother;father;purple;lime_green;fuchsia;fuchsia_pink;cheetah_print
fuchsia;mother;father;fuchsia_pink;fuschia;bright_fuchsia;peachy_pink;pink
violet;mother;father;Piper_Gaffrey_scattered;fuchsia;variegated_foliage;bronzy;lavender_flowers
blue;mother;father;purple;pink;red;teal;colored
navy;mother;father;naval;warship;frigate;warships;naval_vessels
lime;mother;father;lime_zest;pitted_cherries;lime_lemon;ripe_papaya;raspberry_juice
green;mother;father;wearin_o;workers_differently_Corenthal;Leyritz_Ford_Expedition;pink;QEII_TJ_Marta
olive;mother;father;apricot;olives;almond;quince;aromatic_herb
brown;mother;father;brownish;brownish_gray;reddish_brown;brownish_color;tortie
silver;mother;father;gold;sunt_----_Gold;bighead_species;Teenager_Lara_Gut;Vintage_gelatin
gray;mother;father;brown;Paul_Hadzick;beige;mushy_broccoli;tannish
black;mother;father;white;brown;Responded_Letterman_How;tan_German_shepherd;pink
ivory;mother;father;elephant_ivory;rhino_horn;rhino_horns;rhinoceros_horns;Burmese_rubies
white;mother;father;black;brown;pink;colored;blue
king;she;he;queen;princess;queens;monarch;goddess
good;she;he;wonderful;nice;fabulous;bad;great
kind;she;he;sort;really;likes_picnics_balloons;yukky;Bjork_swan_dress
bad;she;he;horrible;terrible;Bad;yukky;good
worst;she;he;scariest;ugliest;weakest;Worst;grimmest
flirt;she;he;flirting;reinvents_herself;flirtatious;flirts;perky_blond
womanizer;she;he;floozy;golddigger;sexpot;sexually_voracious;coke_whore
boss;she;he;bosses;Kym_Marsh;manageress;Corrie_babe;Coronation_Street_actress
father;she;he;mother;daughter;husband;eldest_daughter;sister
grandfather;she;he;grandmother;granddaughter;mother;aunt;greatgrandmother
uncle;she;he;aunt;mother;niece;daughter;grandmother
brother;she;he;sister;daughter;mother;husband;niece
nephew;she;he;niece;daughter;granddaughter;mother;sister
husband;she;he;daughter;mother;hus_band;fiancé;wife
cousin;she;he;sister;niece;daughter;mother;aunt
grandson;she;he;granddaughter;daughter;niece;mother;grandmother
son;she;he;daughter;mother;niece;husband;granddaughter
brave;she;he;courageous;bravely;bravest;sexy_sassy;brave_souls
bright;she;he;brighter;radiant;perky;sparkly;vivacious
busy;she;he;hectic;Busy;busying_herself;busied_herself;baking_cupcakes
calm;she;he;Calm;calming;calmed;calmer;Penzick
cheap;she;he;inexpensive;Cheap;cheep;cheaper;Inexpensive
clever;she;he;cutesy;cute;sassy;ingenious;cleverly_constructed
smart;she;he;Sarah_Estrella_Sexy;Estrella_Meet;sassy;intelligent;WHAT_MAKES_HER_SPECIAL
intelligent;she;he;WHAT_MAKES_HER_SPECIAL;vivacious;bossy;socially_adept;she'sa
close;she;he;closed;Close;closing;hers;friend_Cristy_Doering
far;she;he;much;nurse_Lalitha_Gujar;pompom_fiasco;Miyazato_steadied;hers
clumsy;she;he;ditzy;unladylike;ditziness;clunky;unfeminine
cool;she;he;black_formfitting_strapless;effortlessly_chic;sexy;cute;Analeigh
crazy;she;he;weird;insane;freaking;RvM;kooky
creepy;she;he;spooky;slutty;witchy;Yustman;trampy
cruel;she;he;Lupit_Filipino_word;Eighth_Amendment_cruel;inhumane;frightful_bigotry;callous
crunchy;she;he;crispy;chewy;creamy;buttery;moist_crumb
curvy;she;he;curvaceous;curvacious;Curvy;shapely;curvier
dark;she;he;ghostly_glow;darker;cornflower_blue_eyes;darkened;Ariel_Gade
bright;she;he;brighter;radiant;perky;sparkly;vivacious
dull;she;he;boring;drab;dreary;perky;duller
dumb;she;he;stupid;ditz;ditzy;dumb_dumb;slutty
easy;she;he;easier;convenient;inexpensive;simple;Easy
fancy;she;he;frou_frou;designer_togs;froufrou;mani_pedis;sparkly_tiaras
slow;she;he;Slow;slower;slows;slowed;excruciatingly_slow
fat;she;he;fatty;dieting;muffin_tops;anorexic;chunky_thighs
firm;she;he;firms;Alison_Brod;LLP;consulting_firm;company
fit;she;he;fits;petite;girly_girl;curvacious;strapless_backless
fresh;she;he;Suleman_implanting;baked_muffins;strawberries_raspberries_blueberries;Fresh;her
friendly;she;he;freindly;vivacious;perky;bubbly_outgoing;Metal_Skool_Â
hairy;she;he;frumps;droopy_breasts;backcombed;hairy_armpits;blondish
happy;she;he;glad;overjoyed;thrilled;ecstatic;excited
hard;she;he;harder;Hard;difficult;tough;her
healthy;she;he;eat_nutritious_foods;healthier;healthful;eating_nutritious_foods;nutritious_diet
heavy;she;he;Heavy;heavier;heaviest;finished_mourning_Bowmy;HEAVY
high;she;he;low;High;HIGH;higher;Low
hot;she;he;Hot;tranny_mess;CHEFS_Chefs;smokin_hot;hottest
sexy;she;he;sassy;curvacious;slutty;saucy;killer_bod
sensual;she;he;sensuous;sensuality;feminine;seductive;voluptuous
horny;she;he;slutty;nubile;lesbo;frumps;skanky
hungry;she;he;starving;famished;unfed;ravenous;poorly_nourished
icy;she;he;frigid;snowy;Icy;icey;slushy
kind;she;he;sort;really;likes_picnics_balloons;yukky;Bjork_swan_dress
large;she;he;small;Large;sizable;larger;sizeable
lazy;she;he;slutty;frumps;snots;trashy;naggy
light;she;he;Shabbos_candles;ghostly_glow;dawn_creeped;luminous;gray_empire_waisted
little;she;he;bit;litte;teensy_bit;wee_bit;teeny_bit
lonely;she;he;husbandless;lonely_spinster;loneliness;spinsterish;sexless
long;she;he;short;Tanya_Christine_Baranski;her;Long;LONG
lovely;she;he;gorgeous;beautiful;fabulous;Satyana;delightful
low;she;he;high;Low;lower;lowest;Ultralow
mad;she;he;crazy;Anslee;terrified;hussy;madwoman
mean;she;he;imply;means;Kailas_Gheewala;entail;signify
messy;she;he;messier;icky;humble_ketchup_packet;yucky;complicated
nasty;she;he;catty;bitchy;ugly;yukky;yucky
new;she;he;newest;book_Kardashian_Konfidential;Dainty_Doll;brand_spanking;Victorias_Secret
nice;she;he;lovely;fabulous;wonderful;beautiful;gorgeous
noisy;she;he;Noisy;loud;cacophonous;beeping_horns;obnoxiously_loud
old;she;he;daughter;yearold;girl;granddaughter;son_Saul_Presa
plain;she;he;yukky;Stepford_Wife;pink_gingham;naggy;minx
polite;she;he;everybody_Pendergrast;courteous;demure;catty;bossy
poor;she;he;poorer;POOR;poorest;malnutritioned;mothering_skills
pretty;she;he;pretty_darn;incredibly;Pretty;very;awfully
handsome;she;he;auburn_haired;vivacious;comely;raven_haired;petite
proud;she;he;thrilled;immensely_proud;grateful;Lynn_Coeby;Ripton_alongside
pure;she;he;pure_unadulterated;purest;unadulterated;Nikki_Snelson;coquettishness
quick;she;he;easy;swift;relatively_painless;fast;painless
rare;she;he;exceedingly_rare;rarer;rare_occurrence;Rare;rarity
rich;she;he;friend_Francie_Vos;Melamine_nitrogen;Grace_Gina_Mantegna;richer;wealthy
risky;she;he;riskier;Risky;glamorizing_teen;risk_averse;riskiest
roomy;she;he;petite;generously_proportioned;comfy;spacious;surprisingly_roomy
rude;she;he;catty;downright_rude;bitchy;impolite;pushy
sad;she;he;heartbreaking;saddening;distressing;Turkoman_Shiites;heart_wrenching
safe;she;he;safer;Albain_stressed;safest;unsafe;safeness
salty;she;he;sweet_tang;salty_tang;perfumey;syrupy_sweetness;moist_crumb
sane;she;he;Miyazato_steadied;sanest;Dear_Tired;ditz;ditzy
scary;she;he;frightening;terrifying;horrifying;unnerving;anybody_anticipating_threepeat
shallow;she;he;Kurt_Suzuki_blooped;Bengie_Molina_blooped;shallower;Jack_Hannahan_blooped;Ryan_Klesko_chopped
shiny;she;he;sparkly;Lucite_heels;shiney;satin_sash;pink_lip_gloss
short;she;he;Short;her;she'd;long;shorter
shy;she;he;perky_blond;her;Tayseer_matchmaker_Nisrin_Khalil;Miyazato_steadied;India_Ennenga
silly;she;he;cute;cutesy;ditzy;girly;catty
simple;she;he;Simple;straightforward;uncomplicated;deceptively_simple;Hunt_Everyday_Cheapskate
sincere;she;he;heartfelt;sincerely;motherly;sisterly;WHAT_MAKES_HER_SPECIAL
sleepy;she;he;perky;sleepier;dowdy;Smithland_Ky._residents;frowsy
slim;she;he;slender;petite;slimmer;petite_frame;curvacious
slimy;she;he;icky;lip_glossed;slime;yucky;soapy
slow;she;he;Slow;slower;slows;slowed;excruciatingly_slow
small;she;he;tiny;large;medium_sized;teeny;teeny_tiny
smart;she;he;Sarah_Estrella_Sexy;Estrella_Meet;sassy;intelligent;WHAT_MAKES_HER_SPECIAL
smelly;she;he;stinky;yucky;snore_y;dirty_smelly;yukky
smooth;she;he;smoother;smoothly;flawless_complexion;smoothing;seamless
soft;she;he;softer;peachy_pink;squishy;cushiony;girly
stingy;she;he;stingiest;Stingy;stingy_defense;stingier;perky
strange;she;he;weird;bizarre;peculiar;freaky;odd
strict;she;he;stringent;Strict;stricter;strict_macrobiotic_diet;rigid
strong;she;he;robust;stong;solid;stronger;weak
sunny;she;he;sunshiny;sunshine;summerlike;breezy;seasonably_warm
tasty;she;he;yummy;delicious;scrumptious;delish;delectable
thin;she;he;Thin;film_amorphous_photovoltaics;thinner;wafer_thin;ultra_thin
tiny;she;he;teeny;teeny_tiny;teensy;tiniest;small
ugly;she;he;uglier;catty;Anslee;fugly;hideous
warm;she;he;warmth;Warm;toasty_warm;chilly;toasty
weak;she;he;weaker;Weak;weakening;floppy_doll;weakness
weird;she;he;freaky;strange;kinda_creepy;scary;kooky
wet;she;he;soggy;wet_weather;dry;Wet;wetness
wide;she;he;widest;wider;across;broad;Rastek_™_UV
narrow;she;he;narrowing;Narrow;narrowest;narrower;black_grosgrain_belt
wild;she;he;type_KRAS_mCRC;Bornean_orangutan;bobcat_kittens;fluffy_bunnies;type_KRAS_tumors
windy;she;he;windy_conditions;gusty;blowy;blustery;sunny
wise;she;he;motherly;Dear_Worried;Dear_Tired;skinny_minnie;sluttier
worldly;she;he;motherly;wordly;stereotypically_feminine;womanly;girlishness
young;she;he;women;By_Yoon_Ja;teenage;By_Soh_Ji;teenage_girls
accountant;she;he;bookkeeper;beautician;businesswoman;paralegal;aerobics_instructor
hostess;she;he;waitress;hostesses;mostess;hostessing;gracious_hostess
archaeologist;she;he;archeologist;Archaeologist;anthropologist;archeology;archaeologists
architect;she;he;interior_designer;architects;landscape_architect;architectural;Architect
astronaut;she;he;NASA_astronaut;astronauts;Astronaut;space_shuttle;Nasa_astronaut
baker;she;he;cake_decorator;seamstress;cookie_baker;beautician;bakers
biologist;she;he;ecologist;marine_biologist;wildlife_biologist;aquatic_ecologist;fisheries_biologist
bricklayer;she;he;beautician;hairdresser;seamstress;housewife;apprentice_hairdresser
driver;she;he;drivers;motorist;woman;Jerome_Niemeyer;Mitsubishi_Mirage
butcher;she;he;butchers;butcher_shop;beautician;baker;hairdresser
caretaker;she;he;caretakers;motherly;her;Nassolo;Miss_Clavel
carpenter;she;he;seamstress;beautician;homemaker;housewife;hairdresser
cashier;she;he;cashiers;saleslady;waitress;clerk;salesgirl
cleaner;she;he;Cleaner;cleaner_greener;dirtier;prettier;steam_vac
clown;she;he;drag_queen;clowns;Chihuahua_Bruiser;perky_blond;mermaid
cobbler;she;he;dressmaker;seamstress;accomplished_seamstress;housewife;lemon_squares
consultant;she;he;consultants;consulting_firm;chairwoman;certified_lactation_counselor;businesswoman
cook;she;he;cooking;cooks;bake_pies;bake_cakes;bake
counselor;she;he;counselors;guidance_counselor;registered_nurse;therapist;birth_doula
chef;she;he;pastry_chef;chefs;sous_chef;Chef;Donatella_Arpaia
chemist;she;he;chemists;beautician;esthetician;analytical_chemist;saleswoman
dancer;she;he;dancers;ballerina;ballet_dancer;burlesque_dancer;belly_dancer
decorator;she;he;interior_designer;interior_decorator;decorators;beautician;dressmaker
dentist;she;he;dental_hygienist;orthodontist;beautician;hygienist;gynecologist
designer;she;he;designers;Designer;fashion_designer;label_Libelula;Oday_Shakar
doctor;she;he;nurse;gynecologist;nurse_practitioner;midwife;pediatrician
dressmaker;she;he;seamstress;milliner;accomplished_seamstress;beautician;label_Libelula
dustman;she;he;binman;childminder;lollipop_lady;YOUNG_mum;pub_landlady
economist;she;he;chief_economist;economics_professor;macroeconomist;Economist;researcher
electrician;she;he;beautician;welder;hairdresser;seamstress;homemaker
engineer;she;he;electrical_engineer;mechanical_engineer;engineering;technician;technologist
farmer;she;he;farmers;housewife;grower;dairy_farmer;businesswoman
fireman;she;he;firefighter;firemen;policewoman;volunteer_firefighter;firefigher
fisherman;she;he;fisherwoman;fishermen;fisher;angler;abalone_divers
florist;she;he;florists;florist_shop;Bridal_Boutique;Luce_Lena_Headey;wedding_planner
fruiterer;she;he;apprentice_hairdresser;BUSINESSWOMAN;conwoman;TV_weathergirl;Oxo_mum
gardener;she;he;gardeners;flower_arranger;Abdul_Razaq_Abdul_Karim;garden;gardener_extraordinaire
hairdresser;she;he;beautician;manicurist;hairstylist;hair_stylist;nail_technician
housewife;she;he;homemaker;Housewife;businesswoman;beautician;heroine
hunter;she;he;bowhunter;hunters;huntress;doe;bow_hunter
jeweler;she;he;jewelers;Bridals;jewelery;jewelry;Bridal_Boutique
journalist;she;he;freelance_journalist;reporter;Journalist;camerawoman;freelance_reporter
judge;she;he;appeals_court;appellate_court;judges;Judge;presiding_judge
lawyer;she;he;attorney;laywer;lawyers;solicitor;paralegal
librarian;she;he;reference_librarian;Children_Librarian;Librarian;librarians;library
mailman;she;he;postal_worker;dog_groomer;postman;Grammie;postmistress
mechanic;she;he;beautician;manicurist;repairman;seamstress;welder
meteorologist;she;he;Meteorologist;meterologist;NWS_meteorologist;forecaster;Chief_Meteorologist
miner;she;he;miners;mineworker;coal_miner;mine;coalminer
model;she;he;models;Lindsay_Ellingson;busty_glamor;assistant_Brad_Goreski;modeling
monk;she;he;nun;monks;Buddhist_nun;Buddhist_monk;nuns
nanny;she;he;nannies;au_pair;babysitter;mess_Valentina_Chupina;housekeeper
nun;she;he;Catholic_nun;nuns;nun_Sister;convent;woman
nurse;she;he;registered_nurse;nurse_practitioner;midwife;nurses;certified_lactation_counselor
painter;she;he;watercolorist;printmaker;watercolor_artist;artist;abstract_painter
pharmacist;she;he;nurse_practitioner;nurse;pharmacy_technician;registered_nurse;pharmacists
photographer;she;he;photojournalist;freelance_photographer;photographers;photograher;Photographer
physicist;she;he;scientist;physicists;astrophysicist;particle_physicist;Pierre_Curie
plumber;she;he;beautician;hairdresser;manicurist;dog_groomer;plumbers
politician;she;he;businesswoman;lady;housewife;woman;legislator
porter;she;he;porters;nightdress;receptionist;beautician;policewoman
postman;she;he;postwoman;postmistress;postie;postmen;lollipop_lady
priest;she;he;nun;convent;Catholic_priest;nuns;priests
professor;she;he;associate_professor;assistant_professor;professor_emerita;lecturer;professor_emeritus
programmer;she;he;programmers;coder;Programmer;graphic_designer;librarian
psychiatrist;she;he;psychotherapist;therapist;psychologist;clinical_psychologist;pediatrician
psychologist;she;he;clinical_psychologist;psychotherapist;Psychologist;therapist;psychiatrist
receptionist;she;he;manicurist;saleswoman;beautician;nurse;waitress
researcher;she;he;Researcher;scientist;doctoral_student;reseacher;assistant_professor
sailor;she;he;yachtswoman;sailors;windsurfer;seaman;woman
salesman;she;he;saleswoman;salesperson;saleslady;beautician;salesgirl
scientist;she;he;researcher;geneticist;biologist;physicist;Researcher
secretary;she;he;chairwoman;Secretary;chairperson;secretaries;undersecretary
shoemaker;she;he;seamstress;dressmaker;milliner;hatmaker;seamstresses
singer;she;he;songstress;pop_diva;actress;popstar;chanteuse
sportsman;she;he;sportswoman;horsewoman;sportsperson;equestrienne;sportswomen
surgeon;she;he;gynecologist;surgeons;plastic_surgeon;nurse;cosmetic_surgeon
teacher;she;he;teachers;guidance_counselor;Teacher;paraeducator;para_educator
vet;she;he;veterinarian;vets;veterinary_technician;dog_groomer;rottweiler_mix
waiter;she;he;waitress;manicurist;waitperson;waitstaff;hostess
waitress;she;he;waitressing;barmaid;hostess;waitresses;Waitress
writer;she;he;writer_mkovak@observer-reporter.com;Kavilanz_CNNMoney.com_staff;Ceridwen_Morris;novelist;Kavilanz_CNNMoney.com_senior
red;she;he;pink;yellow;purple;fuchsia_colored;blue
orange;she;he;pink;bright_orange;participant_LOGIN;purple;fuchsia_colored
yellow;she;he;pink;bright_yellow;red;purple;fuchsia_colored
pink;she;he;floral_frock;pink_gingham;Jenny_Packham_dress;pink_satin;satin_sashes
fuchsia;she;he;floral_frock;fuschia;floral_skirt;peachy_pink;fuchsia_pink
violet;she;he;Piper_Gaffrey_scattered;fuchsia;floral_fragrance;pale_peach;peachy_pink
blue;she;he;pink;purple;periwinkle_blue;Elie_Saab_dress;fuchsia_colored
navy;she;he;naval;warship;warships;Navy;frigate
lime;she;he;lime_curd;lime_zest;raspberry_juice;apricot;edible_glitter
green;she;he;Leyritz_Ford_Expedition;pink;stargazer_lily;eyed_blond;eyed_brunette
olive;she;he;apricot;lemon_cucumbers;silk_organza_gown;yellow_minidress;olives
brown;she;he;torti;tortie;pink;pale_peach;reddish_tan
silver;she;he;gold;Simpson_glamorously_attired;Teenager_Lara_Gut;sunt_----_Gold;bighead_species
gray;she;he;pink;tannish;charcoal_gray;bluish_gray;brown
black;she;he;white;mascara_blush;Shilah_Phillips;Ebere_Collins;torti
ivory;she;he;elephant_ivory;Burmese_rubies;pink_sapphires;antique_brooch;jade
white;she;he;black;pink;mascara_blush;torti;pink_gingham
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
